1: sp-clause-activity-inc='1.0', sp-clause-decay='1.4', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='100', sp-learned-clause-sort-heur='0', sp-learned-clauses-inc='1.3', sp-learned-size-factor='0.4', sp-max-res-lit-inc='1.0', sp-max-res-runs='4', sp-orig-clause-sort-heur='0', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.001', sp-rand-phase-scaling='1.0', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='1.0', sp-res-cutoff-cls='8', sp-res-cutoff-lits='400', sp-res-order-heur='0', sp-resolution='1', sp-restart-inc='1.5', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.0', sp-var-dec-heur='0', sp-variable-decay='1.4'
12: sp-clause-activity-inc='1.2913641134717677', sp-clause-decay='1.8365331418488982', sp-clause-del-heur='0', sp-clause-inversion='1', sp-first-restart='275', sp-learned-clause-sort-heur='0', sp-learned-clauses-inc='1.2691056014524555', sp-learned-size-factor='1.1004459651762297', sp-max-res-lit-inc='0.6856272955823313', sp-max-res-runs='3', sp-orig-clause-sort-heur='8', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.001', sp-rand-phase-scaling='0.37843277301428807', sp-rand-var-dec-freq='0.0001', sp-rand-var-dec-scaling='0.8029189843541653', sp-res-cutoff-cls='5', sp-res-cutoff-lits='250', sp-res-order-heur='12', sp-resolution='2', sp-restart-inc='1.8351603017632194', sp-update-dec-queue='0', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.0655071651803514', sp-var-dec-heur='18', sp-variable-decay='1.7294992739459978'
13: sp-clause-activity-inc='0.5511821532001392', sp-clause-decay='1.1655055336288187', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='26', sp-learned-clause-sort-heur='17', sp-learned-clauses-inc='1.1964425604195557', sp-learned-size-factor='0.5612739537742247', sp-max-res-lit-inc='1.9092784850759261', sp-max-res-runs='8', sp-orig-clause-sort-heur='6', sp-phase-dec-heur='0', sp-rand-phase-dec-freq='0', sp-rand-phase-scaling='0.8562690529549359', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='0.9514157518654933', sp-res-cutoff-cls='8', sp-res-cutoff-lits='493', sp-res-order-heur='11', sp-resolution='0', sp-restart-inc='1.4245987280080443', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.2428322874423527', sp-var-dec-heur='5', sp-variable-decay='1.4078289260803114'
14: sp-clause-activity-inc='1.4776905269362595', sp-clause-decay='1.5295501830659781', sp-clause-del-heur='2', sp-clause-inversion='0', sp-first-restart='73', sp-learned-clause-sort-heur='11', sp-learned-clauses-inc='1.1433495527466015', sp-learned-size-factor='0.28140702531818973', sp-max-res-lit-inc='0.28465864540107033', sp-max-res-runs='32', sp-orig-clause-sort-heur='7', sp-phase-dec-heur='6', sp-rand-phase-dec-freq='0.05', sp-rand-phase-scaling='0.32035233567418747', sp-rand-var-dec-freq='0.005', sp-rand-var-dec-scaling='0.4963402929406673', sp-res-cutoff-cls='6', sp-res-cutoff-lits='508', sp-res-order-heur='19', sp-resolution='2', sp-restart-inc='1.6807060428485392', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.3867319430502718', sp-var-dec-heur='5', sp-variable-decay='1.1954546826786798'
15: sp-clause-activity-inc='0.5511821532001392', sp-clause-decay='1.0097026380856662', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='26', sp-learned-clause-sort-heur='17', sp-learned-clauses-inc='1.1964425604195557', sp-learned-size-factor='0.5612739537742247', sp-max-res-lit-inc='1.9092784850759261', sp-max-res-runs='8', sp-orig-clause-sort-heur='6', sp-phase-dec-heur='1', sp-rand-phase-dec-freq='0', sp-rand-phase-scaling='0.8562690529549359', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='0.9514157518654933', sp-res-cutoff-cls='8', sp-res-cutoff-lits='493', sp-res-order-heur='11', sp-resolution='0', sp-restart-inc='1.2140641775204457', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.2428322874423527', sp-var-dec-heur='5', sp-variable-decay='1.4078289260803114'
16: sp-clause-activity-inc='1.0', sp-clause-decay='1.039074180690563', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='25', sp-learned-clause-sort-heur='1', sp-learned-clauses-inc='1.4000412919292133', sp-learned-size-factor='0.4', sp-max-res-lit-inc='1.0', sp-max-res-runs='4', sp-orig-clause-sort-heur='7', sp-phase-dec-heur='1', sp-rand-phase-dec-freq='0.001', sp-rand-phase-scaling='1.0', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='1.0', sp-res-cutoff-cls='8', sp-res-cutoff-lits='400', sp-res-order-heur='0', sp-resolution='1', sp-restart-inc='1.6651753266274532', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.0', sp-var-dec-heur='16', sp-variable-decay='1.4'
17: sp-clause-activity-inc='0.5993054820174185', sp-clause-decay='1.2022385971036849', sp-clause-del-heur='1', sp-clause-inversion='0', sp-first-restart='93', sp-learned-clause-sort-heur='10', sp-learned-clauses-inc='1.3109034698025164', sp-learned-size-factor='0.28848578792606505', sp-max-res-lit-inc='0.3225879404238804', sp-max-res-runs='2', sp-orig-clause-sort-heur='10', sp-phase-dec-heur='4', sp-rand-phase-dec-freq='0', sp-rand-phase-scaling='0.368506091891296', sp-rand-var-dec-freq='0.01', sp-rand-var-dec-scaling='0.7434643411181796', sp-res-cutoff-cls='14', sp-res-cutoff-lits='158', sp-res-order-heur='10', sp-resolution='0', sp-restart-inc='1.5009636923776164', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='0.8244148044524379', sp-var-dec-heur='3', sp-variable-decay='1.0045252344931717'
18: sp-clause-activity-inc='0.5511821532001392', sp-clause-decay='1.0097026380856662', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='26', sp-learned-clause-sort-heur='6', sp-learned-clauses-inc='1.1964425604195557', sp-learned-size-factor='0.5612739537742247', sp-max-res-lit-inc='1.9092784850759261', sp-max-res-runs='8', sp-orig-clause-sort-heur='19', sp-phase-dec-heur='1', sp-rand-phase-dec-freq='0', sp-rand-phase-scaling='0.8562690529549359', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='0.9514157518654933', sp-res-cutoff-cls='8', sp-res-cutoff-lits='493', sp-res-order-heur='11', sp-resolution='2', sp-restart-inc='1.2140641775204457', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.2428322874423527', sp-var-dec-heur='11', sp-variable-decay='1.4078289260803114'
19: sp-clause-activity-inc='0.7245893781670405', sp-clause-decay='1.9984675852943805', sp-clause-del-heur='0', sp-clause-inversion='1', sp-first-restart='161', sp-learned-clause-sort-heur='15', sp-learned-clauses-inc='1.4877267229601412', sp-learned-size-factor='0.9944924857193995', sp-max-res-lit-inc='1.683151779949823', sp-max-res-runs='1', sp-orig-clause-sort-heur='11', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.01', sp-rand-phase-scaling='0.962366461446041', sp-rand-var-dec-freq='0.0001', sp-rand-var-dec-scaling='0.5677694415073969', sp-res-cutoff-cls='4', sp-res-cutoff-lits='1367', sp-res-order-heur='3', sp-resolution='0', sp-restart-inc='1.4825102853063785', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='0.714251609471501', sp-var-dec-heur='0', sp-variable-decay='1.7412922950142216'
20: sp-clause-activity-inc='0.5511821532001392', sp-clause-decay='1.0097026380856662', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='27', sp-learned-clause-sort-heur='12', sp-learned-clauses-inc='1.1964425604195557', sp-learned-size-factor='0.3339959971933541', sp-max-res-lit-inc='1.9092784850759261', sp-max-res-runs='8', sp-orig-clause-sort-heur='19', sp-phase-dec-heur='0', sp-rand-phase-dec-freq='0', sp-rand-phase-scaling='0.8562690529549359', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='0.9514157518654933', sp-res-cutoff-cls='8', sp-res-cutoff-lits='493', sp-res-order-heur='11', sp-resolution='0', sp-restart-inc='1.2140641775204457', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.2428322874423527', sp-var-dec-heur='2', sp-variable-decay='1.4078289260803114'
21: sp-clause-activity-inc='1.4830669917806119', sp-clause-decay='1.5311752987911573', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='141', sp-learned-clause-sort-heur='9', sp-learned-clauses-inc='1.1926017646850435', sp-learned-size-factor='0.9891589909719684', sp-max-res-lit-inc='3.213982999124798', sp-max-res-runs='1', sp-orig-clause-sort-heur='11', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.0001', sp-rand-phase-scaling='0.4935337975235278', sp-rand-var-dec-freq='0.01', sp-rand-var-dec-scaling='0.7760333101961072', sp-res-cutoff-cls='2', sp-res-cutoff-lits='1501', sp-res-order-heur='19', sp-resolution='1', sp-restart-inc='1.2937263896789633', sp-update-dec-queue='0', sp-use-pure-literal-rule='1', sp-var-activity-inc='0.6547666236377387', sp-var-dec-heur='12', sp-variable-decay='1.0313683801467233'
