Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
48,6,4,0.0,0,5.0,13859695,0.0,0.0,2,0.0,6,5.82,UNSAT,,0.061,
49,13,2,0.0,0,1.0026002157211304,15963022,0.0,0.0,2,0.0,6,5.82,UNSAT,,0.054,
50,13,1,0.0,0,1.0528669584274293,16476193,0.0,0.0,2,0.0,6,5.82,UNSAT,,0.054,
51,13,3,0.36,0,1.0528669584274293,13612089,0.36,0.0,2,0.0,6,6.180000000000001,UNSAT,,0.429,
52,6,5,0.01,0,5.0,6963985,0.01,0.0,2,0.0,6,6.19,UNSAT,,0.053,
53,14,3,0.09,0,1.0502673018455506,13612089,0.09,0.0,2,0.0,6,6.28,UNSAT,,0.154,
54,6,5,0.01,0,5.0,7978789,0.01,0.0,2,0.0,6,6.29,UNSAT,,0.053,
55,15,2,0.0,0,1.0026002157211304,15963022,0.0,0.0,2,0.0,6,6.29,UNSAT,,0.053,
56,15,1,0.0,0,1.0065000880241395,1638691,0.0,0.0,2,0.0,6,6.29,UNSAT,,0.055,
57,15,1,0.01,0,1.0065000880241395,16476193,0.01,0.0,2,0.0,6,6.3,UNSAT,,0.053,
58,6,1,0.0,0,5.0,14577362,0.0,0.0,2,0.0,7,6.3,UNSAT,,0.053,
59,16,3,0.03,0,1.0502673018455506,6556430,0.03,0.0,2,0.0,7,6.33,UNSAT,,0.078,
60,16,5,0.01,0,1.0312003124237061,7651328,0.01,0.0,2,0.0,7,6.34,UNSAT,,0.053,
61,16,4,0.01,0,1.0182004797935487,3699413,0.01,0.0,2,0.0,7,6.35,UNSAT,,0.052,
62,16,5,0.01,0,1.0403002727508546,7694943,0.01,0.0,2,0.0,7,6.359999999999999,UNSAT,,0.053,
63,16,4,0.0,0,1.027300440120697,13859695,0.0,0.0,2,0.0,7,6.359999999999999,UNSAT,,0.053,
64,16,2,0.0,0,1.0143006074905396,6891603,0.0,0.0,2,0.0,7,6.359999999999999,UNSAT,,0.056,
65,16,1,0.0,0,1.0143006074905396,16476193,0.0,0.0,2,0.0,7,6.359999999999999,UNSAT,,0.053,
66,16,5,0.01,0,1.1378001797676087,7978789,0.01,0.0,2,0.0,7,6.369999999999999,UNSAT,,0.053,
67,16,4,0.01,0,1.1248003471374513,1227591,0.01,0.0,2,0.0,7,6.379999999999999,UNSAT,,0.059,
68,16,1,0.0,0,1.1486335027694703,15828581,0.0,0.0,2,0.0,7,6.379999999999999,UNSAT,,0.055,
69,16,1,0.0,0,1.1486335027694703,14577362,0.0,0.0,2,0.0,7,6.379999999999999,UNSAT,,0.053,
70,16,3,0.04,0,1.1118005145072938,5574276,0.04,0.0,2,0.0,7,6.419999999999999,UNSAT,,0.078,
71,16,2,0.0,0,1.0403002727508546,15963022,0.0,0.0,2,0.0,7,6.419999999999999,UNSAT,,0.053,
72,16,3,0.04,0,1.0598004091262818,13612089,0.04,0.0,2,0.0,7,6.459999999999999,UNSAT,,0.077,
73,16,1,0.0,0,1.0099668133735658,1638691,0.0,0.0,2,0.0,7,6.459999999999999,UNSAT,,0.053,
74,6,3,0.04,0,5.0,6168200,0.04,0.0,2,0.0,7,6.499999999999999,UNSAT,,0.078,
75,17,1,0.0,0,1.0026002157211304,14577362,0.0,0.0,2,0.0,7,6.499999999999999,UNSAT,,0.053,
76,17,5,0.0,0,1.0182004797935487,7694943,0.0,0.0,2,0.0,7,6.499999999999999,UNSAT,,0.053,
77,17,2,0.0,0,1.0182004797935487,15963022,0.0,0.0,2,0.0,7,6.499999999999999,UNSAT,,0.053,
78,17,3,0.26,0,1.068250261592865,13612089,0.26,0.0,2,0.0,7,6.759999999999999,UNSAT,,0.304,
79,6,2,0.0,0,5.0,9109799,0.0,0.0,2,0.0,8,6.759999999999999,UNSAT,,0.055,
80,18,1,0.01,0,1.0026002157211304,15828581,0.01,0.0,2,0.0,8,6.769999999999999,UNSAT,,0.054,
81,6,4,0.01,0,5.0,11172504,0.01,0.0,2,0.0,8,6.7799999999999985,UNSAT,,0.053,
82,19,2,0.0,0,1.0026002157211304,15963022,0.0,0.0,2,0.0,8,6.7799999999999985,UNSAT,,0.053,
83,19,5,0.0,0,1.0325005281448365,7978789,0.0,0.0,2,0.0,8,6.7799999999999985,UNSAT,,0.053,
84,19,5,0.0,0,1.0325005281448365,6963985,0.0,0.0,2,0.0,8,6.7799999999999985,UNSAT,,0.053,
85,19,5,0.0,0,1.2216501462936402,7694943,0.0,0.0,2,0.0,8,6.7799999999999985,UNSAT,,0.053,
86,19,4,0.01,0,1.1482003558158875,11172504,0.01,0.0,2,0.0,8,6.789999999999998,UNSAT,,0.052,
87,19,4,0.01,0,1.13520052318573,3699413,0.01,0.0,2,0.0,8,6.799999999999998,UNSAT,,0.053,
88,19,3,0.18,0,1.0617507327079774,6168200,0.18,0.0,2,0.0,8,6.979999999999998,UNSAT,,0.254,
89,6,3,0.04,0,5.0,5616125,0.04,0.0,2,0.0,9,7.019999999999998,UNSAT,,0.103,
90,20,4,0.01,0,1.0091005194664002,3699413,0.01,0.0,2,0.0,9,7.029999999999998,UNSAT,,0.053,
91,6,2,0.0,0,5.0,1147415,0.0,0.0,2,0.0,9,7.029999999999998,UNSAT,,0.052,
92,21,1,0.0,0,1.0026002157211304,16476193,0.0,0.0,2,0.0,9,7.029999999999998,UNSAT,,0.053,
93,21,3,1.105300210762024,1,1.105300210762024,6556430,1.01,0.0,0,0.0,9,8.039999999999997,TIMEOUT,,1.082,
94,6,4,0.01,0,5.0,16350844,0.01,0.0,2,0.0,10,8.049999999999997,UNSAT,,0.058,
95,22,2,0.0,0,1.0026002157211304,6550447,0.0,0.0,2,0.0,10,8.049999999999997,UNSAT,,0.053,
96,22,5,0.01,0,1.0676001537322999,7978789,0.01,0.0,2,0.0,10,8.059999999999997,UNSAT,,0.053,
97,22,3,0.04,0,1.0546003211021424,5616125,0.04,0.0,2,0.0,10,8.099999999999996,UNSAT,,0.078,
98,6,5,0.01,0,5.0,7139647,0.01,0.0,2,0.0,10,8.109999999999996,UNSAT,,0.055,
99,23,2,0.0,0,1.0026002157211304,6891603,0.0,0.0,2,0.0,10,8.109999999999996,UNSAT,,0.053,
100,23,1,0.0,0,1.0546003211021424,1638691,0.0,0.0,2,0.0,10,8.109999999999996,UNSAT,,0.053,
101,23,3,0.18,0,1.0546003211021424,6168200,0.18,0.0,2,0.0,10,8.289999999999996,UNSAT,,0.228,
102,6,1,0.0,0,5.0,2962019,0.0,0.0,2,0.0,10,8.289999999999996,UNSAT,,0.053,
103,24,5,0.0,0,1.015600048351288,7139647,0.0,0.0,2,0.0,10,8.289999999999996,UNSAT,,0.052,
104,24,5,0.01,0,1.0442001450538636,7978789,0.01,0.0,2,0.0,10,8.299999999999995,UNSAT,,0.052,
105,24,5,0.01,0,1.0312003124237061,7651328,0.01,0.0,2,0.0,10,8.309999999999995,UNSAT,,0.053,
106,24,3,0.04,0,1.0602335560798646,5574276,0.04,0.0,2,0.0,10,8.349999999999994,UNSAT,,0.078,
107,24,1,0.0,0,1.0082334506988526,1638691,0.0,0.0,2,0.0,10,8.349999999999994,UNSAT,,0.054,
108,24,2,0.0,0,1.0151669013977052,9109799,0.0,0.0,2,0.0,10,8.349999999999994,UNSAT,,0.052,
109,24,2,0.0,0,1.0151669013977052,6891603,0.0,0.0,2,0.0,10,8.349999999999994,UNSAT,,0.053,
110,24,3,0.04,0,1.0897007215499879,5616125,0.04,0.0,2,0.0,10,8.389999999999993,UNSAT,,0.078,
111,24,4,0.01,0,1.037700616168976,3699413,0.01,0.0,2,0.0,10,8.399999999999993,UNSAT,,0.053,
112,24,1,0.0,0,1.0364004004478455,14577362,0.0,0.0,2,0.0,10,8.399999999999993,UNSAT,,0.053,
113,24,2,0.01,0,1.0481000173568726,6550447,0.01,0.0,2,0.0,10,8.409999999999993,UNSAT,,0.053,
114,24,4,0.01,0,1.0182004797935487,11172504,0.01,0.0,2,0.0,10,8.419999999999993,UNSAT,,0.055,
115,24,1,0.0,0,1.0071501958847047,15828581,0.0,0.0,2,0.0,10,8.419999999999993,UNSAT,,0.052,
116,24,2,0.0,0,1.0091005194664002,1147415,0.0,0.0,2,0.0,10,8.419999999999993,UNSAT,,0.053,
117,24,5,0.0,0,1.0091005194664002,7694943,0.0,0.0,2,0.0,10,8.419999999999993,UNSAT,,0.053,
118,6,3,0.04,0,5.0,5821358,0.04,0.0,2,0.0,11,8.459999999999992,UNSAT,,0.078,
119,25,3,0.04,0,1.0524338114738465,5821358,0.04,0.0,2,0.0,11,8.499999999999991,UNSAT,,0.078,
120,6,4,0.01,0,5.0,16310053,0.01,0.0,2,0.0,11,8.509999999999991,UNSAT,,0.053,
121,26,3,1.0524338114738465,1,1.0524338114738465,13612089,1.01,0.0,0,0.0,11,9.51999999999999,TIMEOUT,,1.082,
122,6,5,0.01,0,5.0,12456011,0.01,0.0,2,0.0,12,9.52999999999999,UNSAT,,0.053,
123,27,5,0.01,0,1.015600048351288,7139647,0.01,0.0,2,0.0,12,9.53999999999999,UNSAT,,0.053,
124,27,5,0.01,0,1.0312003124237061,6963985,0.01,0.0,2,0.0,12,9.54999999999999,UNSAT,,0.055,
125,27,5,0.0,0,1.0182004797935487,12456011,0.0,0.0,2,0.0,12,9.54999999999999,UNSAT,,0.053,
126,27,5,0.01,0,1.103133701133728,7651328,0.01,0.0,2,0.0,12,9.55999999999999,UNSAT,,0.052,
127,27,2,0.0,0,1.0190667737007142,6550447,0.0,0.0,2,0.0,12,9.55999999999999,UNSAT,,0.053,
128,27,5,0.01,0,1.0901338685035706,7978789,0.01,0.0,2,0.0,12,9.56999999999999,UNSAT,,0.054,
129,27,4,0.01,0,1.0164671171188355,3699413,0.01,0.0,2,0.0,12,9.57999999999999,UNSAT,,0.053,
130,6,2,0.0,0,5.0,2826089,0.0,0.0,2,0.0,12,9.57999999999999,UNSAT,,0.053,
131,28,3,1.0524338114738465,1,1.0524338114738465,5821358,1.02,0.0,0,0.0,12,10.599999999999989,TIMEOUT,,1.084,
132,6,1,0.0,0,5.0,450473,0.0,0.0,2,0.0,13,10.599999999999989,UNSAT,,0.052,
133,29,1,0.0,0,1.0026002157211304,14577362,0.0,0.0,2,0.0,13,10.599999999999989,UNSAT,,0.053,
134,29,3,0.21,0,1.0680340755462647,13612089,0.21,0.0,2,0.0,13,10.80999999999999,UNSAT,,0.254,
135,6,3,0.04,0,5.0,305967,0.04,0.0,2,0.0,13,10.849999999999989,UNSAT,,0.079,
136,30,5,0.01,0,1.015600048351288,7694943,0.01,0.0,2,0.0,13,10.859999999999989,UNSAT,,0.052,
137,30,2,0.0,0,1.0138666856765748,15963022,0.0,0.0,2,0.0,13,10.859999999999989,UNSAT,,0.054,
138,30,4,0.01,0,1.0138666856765748,1227591,0.01,0.0,2,0.0,13,10.869999999999989,UNSAT,,0.052,
139,6,2,0.0,0,5.0,7531582,0.0,0.0,2,0.0,13,10.869999999999989,UNSAT,,0.053,
140,31,2,0.01,0,1.0026002157211304,6891603,0.01,0.0,2,0.0,13,10.879999999999988,UNSAT,,0.061,
141,6,1,0.0,0,5.0,10928690,0.0,0.0,2,0.0,14,10.879999999999988,UNSAT,,0.078,
142,32,2,0.0,0,1.0026002157211304,9109799,0.0,0.0,2,0.0,14,10.879999999999988,UNSAT,,0.055,
143,32,2,0.0,0,1.0052006471633912,1147415,0.0,0.0,2,0.0,14,10.879999999999988,UNSAT,,0.053,
144,32,2,0.0,0,1.0052006471633912,15963022,0.0,0.0,2,0.0,14,10.879999999999988,UNSAT,,0.053,
145,32,1,0.0,0,1.1093860495567323,1638691,0.0,0.0,2,0.0,14,10.879999999999988,UNSAT,,0.053,
146,32,1,0.0,0,1.1093860495567323,10928690,0.0,0.0,2,0.0,14,10.879999999999988,UNSAT,,0.053,
147,32,3,1.1093860495567323,1,1.1093860495567323,13612089,1.01,0.0,0,0.0,14,11.889999999999988,TIMEOUT,,1.083,
148,6,4,0.01,0,5.0,1474481,0.01,0.0,2,0.0,14,11.899999999999988,UNSAT,,0.053,
149,33,3,1.0527429807662965,1,1.0527429807662965,5821358,1.02,0.0,0,0.0,14,12.919999999999987,TIMEOUT,,1.087,
