1: sp-clause-activity-inc='1.0', sp-clause-decay='1.4', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='100', sp-learned-clause-sort-heur='0', sp-learned-clauses-inc='1.3', sp-learned-size-factor='0.4', sp-max-res-lit-inc='1.0', sp-max-res-runs='4', sp-orig-clause-sort-heur='0', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.001', sp-rand-phase-scaling='1.0', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='1.0', sp-res-cutoff-cls='8', sp-res-cutoff-lits='400', sp-res-order-heur='0', sp-resolution='1', sp-restart-inc='1.5', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.0', sp-var-dec-heur='0', sp-variable-decay='1.4'
22: sp-clause-activity-inc='0.5268100598260671', sp-clause-decay='1.3640930101828648', sp-clause-del-heur='1', sp-clause-inversion='0', sp-first-restart='122', sp-learned-clause-sort-heur='1', sp-learned-clauses-inc='1.4969778548280077', sp-learned-size-factor='1.56966200918388', sp-max-res-lit-inc='0.43391942735563493', sp-max-res-runs='15', sp-orig-clause-sort-heur='11', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.0001', sp-rand-phase-scaling='0.7247227632355827', sp-rand-var-dec-freq='0', sp-rand-var-dec-scaling='0.7331643729411288', sp-res-cutoff-cls='4', sp-res-cutoff-lits='355', sp-res-order-heur='15', sp-resolution='2', sp-restart-inc='1.3262438635284348', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.494977986895459', sp-var-dec-heur='17', sp-variable-decay='1.995877561965291'
23: sp-clause-activity-inc='0.5039870682371449', sp-clause-decay='1.726905113600588', sp-clause-del-heur='1', sp-clause-inversion='0', sp-first-restart='122', sp-learned-clause-sort-heur='11', sp-learned-clauses-inc='1.4969778548280077', sp-learned-size-factor='1.56966200918388', sp-max-res-lit-inc='0.43391942735563493', sp-max-res-runs='15', sp-orig-clause-sort-heur='11', sp-phase-dec-heur='0', sp-rand-phase-dec-freq='0.0001', sp-rand-phase-scaling='0.7247227632355827', sp-rand-var-dec-freq='0', sp-rand-var-dec-scaling='0.7331643729411288', sp-res-cutoff-cls='4', sp-res-cutoff-lits='355', sp-res-order-heur='15', sp-resolution='0', sp-restart-inc='1.3262438635284348', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.494977986895459', sp-var-dec-heur='8', sp-variable-decay='1.995877561965291'
24: sp-clause-activity-inc='0.5534524462285612', sp-clause-decay='1.1241693120843603', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='212', sp-learned-clause-sort-heur='16', sp-learned-clauses-inc='1.3369143885001964', sp-learned-size-factor='1.3719757824848429', sp-max-res-lit-inc='0.29908362711789854', sp-max-res-runs='10', sp-orig-clause-sort-heur='4', sp-phase-dec-heur='2', sp-rand-phase-dec-freq='0.005', sp-rand-phase-scaling='1.0994273346075685', sp-rand-var-dec-freq='0.05', sp-rand-var-dec-scaling='0.4570938661803995', sp-res-cutoff-cls='17', sp-res-cutoff-lits='366', sp-res-order-heur='18', sp-resolution='2', sp-restart-inc='1.4861736506891643', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.3837169785297612', sp-var-dec-heur='18', sp-variable-decay='1.9249182747974214'
25: sp-clause-activity-inc='1.028087279329704', sp-clause-decay='1.5624763307210991', sp-clause-del-heur='0', sp-clause-inversion='1', sp-first-restart='644', sp-learned-clause-sort-heur='4', sp-learned-clauses-inc='1.4549454336699168', sp-learned-size-factor='1.2389081866092915', sp-max-res-lit-inc='3.2709274910360455', sp-max-res-runs='2', sp-orig-clause-sort-heur='11', sp-phase-dec-heur='0', sp-rand-phase-dec-freq='0.005', sp-rand-phase-scaling='1.0877555001197923', sp-rand-var-dec-freq='0.005', sp-rand-var-dec-scaling='0.6550268034166264', sp-res-cutoff-cls='2', sp-res-cutoff-lits='575', sp-res-order-heur='18', sp-resolution='0', sp-restart-inc='1.3906740248823821', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.4182576528303086', sp-var-dec-heur='8', sp-variable-decay='1.632972347080139'
26: sp-clause-activity-inc='0.5044754110734005', sp-clause-decay='1.06767162678574', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='212', sp-learned-clause-sort-heur='1', sp-learned-clauses-inc='1.3369143885001964', sp-learned-size-factor='1.3719757824848429', sp-max-res-lit-inc='0.29908362711789854', sp-max-res-runs='10', sp-orig-clause-sort-heur='14', sp-phase-dec-heur='2', sp-rand-phase-dec-freq='0.005', sp-rand-phase-scaling='1.0994273346075685', sp-rand-var-dec-freq='0.005', sp-rand-var-dec-scaling='0.4570938661803995', sp-res-cutoff-cls='17', sp-res-cutoff-lits='366', sp-res-order-heur='18', sp-resolution='2', sp-restart-inc='1.4861736506891643', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.413629637974407', sp-var-dec-heur='16', sp-variable-decay='1.9249182747974214'
27: sp-clause-activity-inc='1.1939800925178006', sp-clause-decay='1.6293690710854896', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='2538', sp-learned-clause-sort-heur='5', sp-learned-clauses-inc='1.139380181450624', sp-learned-size-factor='0.20874388389476042', sp-max-res-lit-inc='0.7924896855496706', sp-max-res-runs='1', sp-orig-clause-sort-heur='19', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.005', sp-rand-phase-scaling='1.0724074586520553', sp-rand-var-dec-freq='0.01', sp-rand-var-dec-scaling='0.35091772540315536', sp-res-cutoff-cls='16', sp-res-cutoff-lits='849', sp-res-order-heur='4', sp-resolution='0', sp-restart-inc='1.3475516273882788', sp-update-dec-queue='0', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.3837626539317571', sp-var-dec-heur='17', sp-variable-decay='1.2198886930286739'
28: sp-clause-activity-inc='0.5039870682371449', sp-clause-decay='1.409638281433503', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='122', sp-learned-clause-sort-heur='13', sp-learned-clauses-inc='1.4969778548280077', sp-learned-size-factor='0.8168337908490535', sp-max-res-lit-inc='0.43391942735563493', sp-max-res-runs='15', sp-orig-clause-sort-heur='11', sp-phase-dec-heur='0', sp-rand-phase-dec-freq='0.0001', sp-rand-phase-scaling='0.7247227632355827', sp-rand-var-dec-freq='0', sp-rand-var-dec-scaling='0.7331643729411288', sp-res-cutoff-cls='4', sp-res-cutoff-lits='355', sp-res-order-heur='15', sp-resolution='0', sp-restart-inc='1.3262438635284348', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.494977986895459', sp-var-dec-heur='16', sp-variable-decay='1.995877561965291'
29: sp-clause-activity-inc='0.9563863660698187', sp-clause-decay='1.0349102708023752', sp-clause-del-heur='1', sp-clause-inversion='1', sp-first-restart='391', sp-learned-clause-sort-heur='7', sp-learned-clauses-inc='1.4215425338296155', sp-learned-size-factor='0.13315403719543906', sp-max-res-lit-inc='0.7539870853351234', sp-max-res-runs='3', sp-orig-clause-sort-heur='11', sp-phase-dec-heur='1', sp-rand-phase-dec-freq='0.005', sp-rand-phase-scaling='0.4718515430510319', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='0.5309340432793286', sp-res-cutoff-cls='4', sp-res-cutoff-lits='170', sp-res-order-heur='3', sp-resolution='2', sp-restart-inc='1.7104086213951852', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='0.6336249914995834', sp-var-dec-heur='12', sp-variable-decay='1.671669109833691'
30: sp-clause-activity-inc='0.5045506270162317', sp-clause-decay='1.0470023495894796', sp-clause-del-heur='0', sp-clause-inversion='1', sp-first-restart='903', sp-learned-clause-sort-heur='5', sp-learned-clauses-inc='1.2531830050694266', sp-learned-size-factor='0.33219074506137053', sp-max-res-lit-inc='0.28920388234315264', sp-max-res-runs='6', sp-orig-clause-sort-heur='6', sp-phase-dec-heur='0', sp-rand-phase-dec-freq='0.05', sp-rand-phase-scaling='0.8281203417196257', sp-rand-var-dec-freq='0.01', sp-rand-var-dec-scaling='0.5515030633981531', sp-res-cutoff-cls='15', sp-res-cutoff-lits='1113', sp-res-order-heur='12', sp-resolution='1', sp-restart-inc='1.7008000753596724', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='0.8103977284504604', sp-var-dec-heur='16', sp-variable-decay='1.7591812087706007'
31: sp-clause-activity-inc='0.7485544944554436', sp-clause-decay='1.6520676198492699', sp-clause-del-heur='0', sp-clause-inversion='1', sp-first-restart='2734', sp-learned-clause-sort-heur='8', sp-learned-clauses-inc='1.341194800243822', sp-learned-size-factor='0.5022214412509552', sp-max-res-lit-inc='3.6268768810146397', sp-max-res-runs='18', sp-orig-clause-sort-heur='18', sp-phase-dec-heur='1', sp-rand-phase-dec-freq='0.05', sp-rand-phase-scaling='1.0639816963885005', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='0.43989489574537755', sp-res-cutoff-cls='3', sp-res-cutoff-lits='391', sp-res-order-heur='5', sp-resolution='1', sp-restart-inc='1.5002495563482514', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='0.7951820661268154', sp-var-dec-heur='15', sp-variable-decay='1.3312620331121674'
32: sp-clause-activity-inc='0.5268100598260671', sp-clause-decay='1.0597512754907332', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='921', sp-learned-clause-sort-heur='5', sp-learned-clauses-inc='1.3551384413976042', sp-learned-size-factor='0.6640596847673275', sp-max-res-lit-inc='0.43391942735563493', sp-max-res-runs='15', sp-orig-clause-sort-heur='6', sp-phase-dec-heur='0', sp-rand-phase-dec-freq='0.0001', sp-rand-phase-scaling='0.7247227632355827', sp-rand-var-dec-freq='0', sp-rand-var-dec-scaling='0.7331643729411288', sp-res-cutoff-cls='4', sp-res-cutoff-lits='355', sp-res-order-heur='15', sp-resolution='1', sp-restart-inc='1.3262438635284348', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='0.8588440020648199', sp-var-dec-heur='16', sp-variable-decay='1.813592109092459'
33: sp-clause-activity-inc='0.8505050704336101', sp-clause-decay='1.1033977377781854', sp-clause-del-heur='1', sp-clause-inversion='0', sp-first-restart='332', sp-learned-clause-sort-heur='13', sp-learned-clauses-inc='1.3551384413976042', sp-learned-size-factor='1.4600990715210844', sp-max-res-lit-inc='0.43391942735563493', sp-max-res-runs='15', sp-orig-clause-sort-heur='5', sp-phase-dec-heur='1', sp-rand-phase-dec-freq='0.0001', sp-rand-phase-scaling='0.7247227632355827', sp-rand-var-dec-freq='0.01', sp-rand-var-dec-scaling='0.7331643729411288', sp-res-cutoff-cls='4', sp-res-cutoff-lits='355', sp-res-order-heur='15', sp-resolution='0', sp-restart-inc='1.821875899619867', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.421227275215657', sp-var-dec-heur='16', sp-variable-decay='1.5269954995464428'
