1: sp-clause-activity-inc='1.0', sp-clause-decay='1.4', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='100', sp-learned-clause-sort-heur='0', sp-learned-clauses-inc='1.3', sp-learned-size-factor='0.4', sp-max-res-lit-inc='1.0', sp-max-res-runs='4', sp-orig-clause-sort-heur='0', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.001', sp-rand-phase-scaling='1.0', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='1.0', sp-res-cutoff-cls='8', sp-res-cutoff-lits='400', sp-res-order-heur='0', sp-resolution='1', sp-restart-inc='1.5', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.0', sp-var-dec-heur='0', sp-variable-decay='1.4'
12: sp-clause-activity-inc='0.5268100598260671', sp-clause-decay='1.1033977377781854', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='122', sp-learned-clause-sort-heur='7', sp-learned-clauses-inc='1.3551384413976042', sp-learned-size-factor='1.0144966033709837', sp-max-res-lit-inc='0.43391942735563493', sp-max-res-runs='15', sp-orig-clause-sort-heur='8', sp-phase-dec-heur='1', sp-rand-phase-dec-freq='0.0001', sp-rand-phase-scaling='0.7247227632355827', sp-rand-var-dec-freq='0', sp-rand-var-dec-scaling='0.7331643729411288', sp-res-cutoff-cls='4', sp-res-cutoff-lits='355', sp-res-order-heur='15', sp-resolution='1', sp-restart-inc='1.3262438635284348', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.376498667399854', sp-var-dec-heur='10', sp-variable-decay='1.5269954995464428'
13: sp-clause-activity-inc='1.028087279329704', sp-clause-decay='1.055653896418011', sp-clause-del-heur='0', sp-clause-inversion='1', sp-first-restart='644', sp-learned-clause-sort-heur='13', sp-learned-clauses-inc='1.4549454336699168', sp-learned-size-factor='0.7652377374933285', sp-max-res-lit-inc='3.2709274910360455', sp-max-res-runs='2', sp-orig-clause-sort-heur='11', sp-phase-dec-heur='1', sp-rand-phase-dec-freq='0.005', sp-rand-phase-scaling='1.0877555001197923', sp-rand-var-dec-freq='0.005', sp-rand-var-dec-scaling='0.6550268034166264', sp-res-cutoff-cls='2', sp-res-cutoff-lits='575', sp-res-order-heur='18', sp-resolution='1', sp-restart-inc='1.3906740248823821', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.4182576528303086', sp-var-dec-heur='16', sp-variable-decay='1.632972347080139'
14: sp-clause-activity-inc='1.401878489659146', sp-clause-decay='1.0001195367291433', sp-clause-del-heur='0', sp-clause-inversion='1', sp-first-restart='3182', sp-learned-clause-sort-heur='2', sp-learned-clauses-inc='1.473947601659312', sp-learned-size-factor='0.3077998679014293', sp-max-res-lit-inc='1.5601015917933931', sp-max-res-runs='19', sp-orig-clause-sort-heur='19', sp-phase-dec-heur='2', sp-rand-phase-dec-freq='0.0001', sp-rand-phase-scaling='0.7731173349290821', sp-rand-var-dec-freq='0.005', sp-rand-var-dec-scaling='1.0802743795702154', sp-res-cutoff-cls='2', sp-res-cutoff-lits='280', sp-res-order-heur='0', sp-resolution='1', sp-restart-inc='1.429175805025766', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.164084841783981', sp-var-dec-heur='2', sp-variable-decay='1.522382201174738'
15: sp-clause-activity-inc='0.9561364095374247', sp-clause-decay='1.532793745952111', sp-clause-del-heur='0', sp-clause-inversion='1', sp-first-restart='1121', sp-learned-clause-sort-heur='13', sp-learned-clauses-inc='1.2136298546408595', sp-learned-size-factor='0.39965307884188855', sp-max-res-lit-inc='0.832438081042005', sp-max-res-runs='1', sp-orig-clause-sort-heur='0', sp-phase-dec-heur='2', sp-rand-phase-dec-freq='0.05', sp-rand-phase-scaling='0.7230871913367293', sp-rand-var-dec-freq='0.0001', sp-rand-var-dec-scaling='0.7470169978769834', sp-res-cutoff-cls='13', sp-res-cutoff-lits='130', sp-res-order-heur='15', sp-resolution='2', sp-restart-inc='1.4071058779795997', sp-update-dec-queue='0', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.1005445923423727', sp-var-dec-heur='11', sp-variable-decay='1.2836287926522012'
16: sp-clause-activity-inc='0.5268100598260671', sp-clause-decay='1.012170866542014', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='122', sp-learned-clause-sort-heur='12', sp-learned-clauses-inc='1.4785641421074127', sp-learned-size-factor='0.2041649602809854', sp-max-res-lit-inc='0.43391942735563493', sp-max-res-runs='15', sp-orig-clause-sort-heur='19', sp-phase-dec-heur='1', sp-rand-phase-dec-freq='0.0001', sp-rand-phase-scaling='0.7247227632355827', sp-rand-var-dec-freq='0.005', sp-rand-var-dec-scaling='0.7331643729411288', sp-res-cutoff-cls='4', sp-res-cutoff-lits='355', sp-res-order-heur='15', sp-resolution='1', sp-restart-inc='1.3262438635284348', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.0919796315413923', sp-var-dec-heur='18', sp-variable-decay='1.5269954995464428'
17: sp-clause-activity-inc='1.0162573663242833', sp-clause-decay='1.6193430599335787', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='3007', sp-learned-clause-sort-heur='0', sp-learned-clauses-inc='1.4655493657898062', sp-learned-size-factor='0.43657382273519746', sp-max-res-lit-inc='0.3770249777142182', sp-max-res-runs='1', sp-orig-clause-sort-heur='13', sp-phase-dec-heur='3', sp-rand-phase-dec-freq='0.05', sp-rand-phase-scaling='0.47621006860356346', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='0.43216178365679625', sp-res-cutoff-cls='10', sp-res-cutoff-lits='1481', sp-res-order-heur='18', sp-resolution='2', sp-restart-inc='1.7246692830542636', sp-update-dec-queue='0', sp-use-pure-literal-rule='1', sp-var-activity-inc='0.6736377914570675', sp-var-dec-heur='7', sp-variable-decay='1.3378338767413105'
18: sp-clause-activity-inc='1.401878489659146', sp-clause-decay='1.0123219654891042', sp-clause-del-heur='0', sp-clause-inversion='1', sp-first-restart='3182', sp-learned-clause-sort-heur='13', sp-learned-clauses-inc='1.4149627134938036', sp-learned-size-factor='0.5432162057989669', sp-max-res-lit-inc='1.5601015917933931', sp-max-res-runs='19', sp-orig-clause-sort-heur='13', sp-phase-dec-heur='1', sp-rand-phase-dec-freq='0.0001', sp-rand-phase-scaling='0.7731173349290821', sp-rand-var-dec-freq='0.01', sp-rand-var-dec-scaling='1.0802743795702154', sp-res-cutoff-cls='2', sp-res-cutoff-lits='280', sp-res-order-heur='0', sp-resolution='1', sp-restart-inc='1.429175805025766', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.164084841783981', sp-var-dec-heur='5', sp-variable-decay='1.1549036847324146'
19: sp-clause-activity-inc='0.5207587524233608', sp-clause-decay='1.356493807563338', sp-clause-del-heur='0', sp-clause-inversion='1', sp-first-restart='181', sp-learned-clause-sort-heur='7', sp-learned-clauses-inc='1.1891408014680016', sp-learned-size-factor='0.11964721964214257', sp-max-res-lit-inc='0.5723056352063567', sp-max-res-runs='7', sp-orig-clause-sort-heur='10', sp-phase-dec-heur='1', sp-rand-phase-dec-freq='0.005', sp-rand-phase-scaling='0.6659547228437939', sp-rand-var-dec-freq='0.0001', sp-rand-var-dec-scaling='0.3428803652187972', sp-res-cutoff-cls='13', sp-res-cutoff-lits='214', sp-res-order-heur='4', sp-resolution='0', sp-restart-inc='1.8331699505954338', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.19901251025958', sp-var-dec-heur='10', sp-variable-decay='1.0157158550562138'
20: sp-clause-activity-inc='0.5268100598260671', sp-clause-decay='1.1033977377781854', sp-clause-del-heur='1', sp-clause-inversion='0', sp-first-restart='122', sp-learned-clause-sort-heur='1', sp-learned-clauses-inc='1.3551384413976042', sp-learned-size-factor='1.0144966033709837', sp-max-res-lit-inc='0.43391942735563493', sp-max-res-runs='15', sp-orig-clause-sort-heur='11', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.0001', sp-rand-phase-scaling='0.7247227632355827', sp-rand-var-dec-freq='0', sp-rand-var-dec-scaling='0.7331643729411288', sp-res-cutoff-cls='4', sp-res-cutoff-lits='355', sp-res-order-heur='15', sp-resolution='2', sp-restart-inc='1.3262438635284348', sp-update-dec-queue='0', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.4976619336733898', sp-var-dec-heur='17', sp-variable-decay='1.6274788152650739'
21: sp-clause-activity-inc='1.3784697061313804', sp-clause-decay='1.3422269275076957', sp-clause-del-heur='2', sp-clause-inversion='0', sp-first-restart='218', sp-learned-clause-sort-heur='10', sp-learned-clauses-inc='1.1985757020254517', sp-learned-size-factor='0.7473404442045828', sp-max-res-lit-inc='0.7171543721907394', sp-max-res-runs='4', sp-orig-clause-sort-heur='2', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.05', sp-rand-phase-scaling='0.7352659855498871', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='0.5050927571932452', sp-res-cutoff-cls='10', sp-res-cutoff-lits='441', sp-res-order-heur='17', sp-resolution='1', sp-restart-inc='1.2643478402144352', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.1538091549554732', sp-var-dec-heur='2', sp-variable-decay='1.392250016227348'
